id,nome,responsavel,status_conexao,tipo_agendamento,frequencia,ultimo_status,ultima_execucao,taxa_sucesso_pct,execucoes_amostra,pulso,pulso_datas,url
4a09c14d-81f1-48b3-bf88-d179a8104f3c,BONDS - PG_SI_APP_APP_READER - SNOW_RAW_STATUS_INVEST,Giovanni Vargas,active,cron,0 30 6 * * ? America/Sao_Paulo,success,2026-08-31T09:30:01Z,97.6,586,success|success|success|success|success|success|success|success|success|success,2026-08-22T09:30:01Z|2026-08-23T09:30:01Z|2026-08-24T09:30:01Z|2026-08-25T09:30:01Z|2026-08-26T09:30:01Z|2026-08-27T09:30Z|2026-08-28T09:30:01Z|2026-08-29T09:30:01Z|2026-08-30T09:30:01Z|2026-08-31T09:30:01Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/4a09c14d-81f1-48b3-bf88-d179a8104f3c/status
5f245b95-27a1-4914-98bc-096f7284dbab,HISTORY - PG_SI_APP_READER - SNOW_RAW_STATUS_INVEST,Giovanni Vargas,active,cron,0 30 6 * * ? America/Sao_Paulo,success,2026-08-31T09:30:01Z,96.9,585,success|success|success|success|success|success|success|success|success|success,2026-08-22T09:30:01Z|2026-08-23T09:30:01Z|2026-08-24T09:30Z|2026-08-25T09:30:01Z|2026-08-26T09:30:01Z|2026-08-27T09:30:01Z|2026-08-28T09:30:01Z|2026-08-29T09:30:01Z|2026-08-30T09:30:01Z|2026-08-31T09:30:01Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/5f245b95-27a1-4914-98bc-096f7284dbab/status
45bb5027-f991-4f30-a37f-81534c9a16e3,OPTIONS - PG_SI_APP_READER - SNOW_RAW_STATUS_INVEST,Giovanni Vargas,active,cron,0 0 6 * * ? America/Sao_Paulo,success,2026-08-31T09:00:04Z,97.9,581,success|success|success|success|success|success|success|success|success|success,2026-08-22T09:00:04Z|2026-08-23T09:00:05Z|2026-08-24T09:00:04Z|2026-08-25T09:00:04Z|2026-08-26T09:00:05Z|2026-08-27T09:00:02Z|2026-08-28T09:00:06Z|2026-08-29T09:00:05Z|2026-08-30T09:00:05Z|2026-08-31T09:00:04Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/45bb5027-f991-4f30-a37f-81534c9a16e3/status
7c1d9e28-a67b-4f0a-831e-dfef70578e47,FIIS - PG_SUNO_SI_APP_READER - SNOW_RAW_SUNO_LEGADO,Cedric Fagundes,active,cron,0 30 5 * * ? America/Sao_Paulo,success,2026-08-31T08:30:01Z,97.8,582,success|success|success|success|success|success|success|success|success|success,2026-08-22T08:30:01Z|2026-08-23T08:30:01Z|2026-08-24T08:30:01Z|2026-08-25T08:30:01Z|2026-08-26T08:30:01Z|2026-08-27T08:30:01Z|2026-08-28T08:30:01Z|2026-08-29T08:30:01Z|2026-08-30T08:30:01Z|2026-08-31T08:30:01Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/7c1d9e28-a67b-4f0a-831e-dfef70578e47/status
a15e69e2-814d-42bf-943b-3d86712bc872,CONSULTORIA - AuC Assessoria → Snowflake - Cadastro Consultoria,André Camacho,active,manual,Manual,success,2026-07-15T03:44:49Z,100.0,2,success|skipped|success,2026-06-28T23:03:38Z|2026-07-15T03:44:20Z|2026-07-15T03:44:49Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/a15e69e2-814d-42bf-943b-3d86712bc872/status
6662a2f1-c06b-4494-a996-d4289872ba6b,Twilio Taskrouter → Snowflake RAW_SUNO_LEGADO.PROJ_IA_WA_RS,Time de Dados,inactive,basic,A cada 3h,success,2025-08-15T21:38:46Z,100.0,250,success|success|success|success|success|success|success|success|success|success,2025-08-14T18:38:43Z|2025-08-14T21:38:43Z|2025-08-15T00:38:43Z|2025-08-15T03:38:43Z|2025-08-15T06:38:43Z|2025-08-15T09:38:44Z|2025-08-15T12:38:44Z|2025-08-15T15:38:45Z|2025-08-15T18:38:46Z|2025-08-15T21:38:46Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/6662a2f1-c06b-4494-a996-d4289872ba6b/status
5be446c9-e5cc-4c53-adf8-76d4e9ec634a,SUNO - SQL_SERVER_NEXXUS_SUNO - SNOW_RAW_SUNO_LEGADO_NEXXUS,Time de Dados,active,cron,0 30 4 * * ? America/Sao_Paulo,success,2026-08-31T07:30:01Z,96.8,585,success|success|success|success|success|success|success|success|success|success,2026-08-22T07:30:01Z|2026-08-23T07:30:01Z|2026-08-24T07:30:01Z|2026-08-25T07:30:01Z|2026-08-26T07:30:01Z|2026-08-27T07:30:01Z|2026-08-28T07:30:01Z|2026-08-29T07:30:01Z|2026-08-30T07:30:01Z|2026-08-31T07:30:01Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/5be446c9-e5cc-4c53-adf8-76d4e9ec634a/status
ceba8008-0786-4211-ba9b-6c20d1374502,Google Sheets - PEERS_FUNDS_SUNO → Snowflake - RAW_SUNO_LEGADO - ASSET,Cedric Fagundes,active,cron,0 15 8-23 * *  ? America/Sao_Paulo,success,2026-09-01T02:15:01Z,99.5,15210,success|success|success|success|success|success|success|success|success|success,2026-08-31T17:15Z|2026-08-31T18:15Z|2026-08-31T19:15:01Z|2026-08-31T20:15Z|2026-08-31T21:15Z|2026-08-31T22:15Z|2026-08-31T23:15Z|2026-09-01T00:15Z|2026-09-01T01:15Z|2026-09-01T02:15:01Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/ceba8008-0786-4211-ba9b-6c20d1374502/status
59d8b9df-c0e3-4e5c-8d48-95afb61df238,Supabase → Snowflake - RAW_SUNO_LEGADO - SUNO_CODE,Time de Dados,active,cron,0 0 8-18/2 * * ? America/Sao_Paulo,success,2026-08-31T21:00:05Z,99.7,1794,success|success|success|success|success|success|success|success|success|success,2026-08-30T15:00:05Z|2026-08-30T17:00:04Z|2026-08-30T19:00:04Z|2026-08-30T21:00:04Z|2026-08-31T11:00:03Z|2026-08-31T13:00:03Z|2026-08-31T15:00:05Z|2026-08-31T17:00:04Z|2026-08-31T19:00:04Z|2026-08-31T21:00:05Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/59d8b9df-c0e3-4e5c-8d48-95afb61df238/status
80290713-fc1b-4cf2-9c29-ec5fef7ceaa9,Google Sheets - SUNOCODE ALWAYS ON → Snowflake - RAW_MARKETING - MARKETING,Giovanni Vargas,active,cron,0 0 9 * * ? America/Sao_Paulo,success,2026-08-31T12:00:04Z,99.8,488,success|success|success|success|success|success|success|success|success|success,2026-08-22T12:00:04Z|2026-08-23T12:00:04Z|2026-08-24T12:00:04Z|2026-08-25T12:00:03Z|2026-08-26T12:00:01Z|2026-08-27T12:00:01Z|2026-08-28T12:00:04Z|2026-08-29T12:00:04Z|2026-08-30T12:00:04Z|2026-08-31T12:00:04Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/80290713-fc1b-4cf2-9c29-ec5fef7ceaa9/status
c4fd546a-c5bb-442c-adde-dd0c0a8abeff,Google Sheets - Bases XP SEGUROS → Snowflake RAW_SUNO_LEGADO - ASSESSORIA,André Camacho,active,cron,0 0 11 * * ? America/Sao_Paulo,success,2026-08-31T14:00:03Z,100.0,466,success|success|success|success|success|success|success|success|success|success,2026-08-22T14:00:02Z|2026-08-23T14:00:03Z|2026-08-24T14:00:03Z|2026-08-25T14:00:03Z|2026-08-26T14:00Z|2026-08-27T14:00Z|2026-08-28T14:00:04Z|2026-08-29T14:00:04Z|2026-08-30T14:00:03Z|2026-08-31T14:00:03Z,https://airbyte-c2dc4574f078cdf5.suno.com.br/workspaces/dc2a5e39-bb32-464b-b8f9-c51b6556258f/connections/c4fd546a-c5bb-442c-adde-dd0c0a8abeff/status
