id,nome,ultimo_status,ultima_execucao,taxa_sucesso_pct,coletado_em
c5ae6d21-6dfa-4545-8155-71e410cda215,Metadata Agent,running,2026-08-27T12:47:11.591000+00:00,,2026-08-27T14:22:09.709865+00:00
aeee7dac-87b1-4698-becf-c53cb7b6f9c9,Suno_AirByte_metadata_hHAF0BY6,failed,2026-08-26T12:05:59.394000+00:00,,2026-08-27T14:22:09.709871+00:00
aeee7dac-87b1-4698-becf-c53cb7b6f9c9,Suno_AirByte_metadata_hHAF0BY6,success,2026-08-27T21:59:10.273000+00:00,,2026-08-27T22:08:07.020725+00:00
aeee7dac-87b1-4698-becf-c53cb7b6f9c9,Suno_AirByte_metadata_hHAF0BY6,running,2026-08-28T12:05:42.992000+00:00,,2026-08-28T12:15:25.515134+00:00
aeee7dac-87b1-4698-becf-c53cb7b6f9c9,Suno_AirByte_metadata_hHAF0BY6,success,2026-08-29T12:02:23.810000+00:00,,2026-08-29T13:21:28.643377+00:00
aeee7dac-87b1-4698-becf-c53cb7b6f9c9,Suno_AirByte_metadata_hHAF0BY6,success,2026-08-30T12:01:10.791000+00:00,,2026-08-30T14:33:34.615346+00:00
c5ae6d21-6dfa-4545-8155-71e410cda215,Metadata Agent,running,2026-08-31T12:02:29.193000+00:00,,2026-08-31T12:47:48.120731+00:00
aeee7dac-87b1-4698-becf-c53cb7b6f9c9,Suno_AirByte_metadata_hHAF0BY6,running,2026-08-31T12:02:20.693000+00:00,,2026-08-31T12:47:48.120739+00:00
c5ae6d21-6dfa-4545-8155-71e410cda215,Metadata Agent,success,2026-09-01T12:04:40.991000+00:00,,2026-09-01T16:54:23.844684+00:00
c5ae6d21-6dfa-4545-8155-71e410cda215,Metadata Agent,running,2026-09-03T12:04:09.690000+00:00,,2026-09-03T14:12:20.610291+00:00
aeee7dac-87b1-4698-becf-c53cb7b6f9c9,Suno_AirByte_metadata_hHAF0BY6,success,2026-09-04T12:04:48.690000+00:00,,2026-09-04T14:32:22.414804+00:00
