nome_contrato,entidade,status
API_IVT_WEBHOOK_ALL_TRANSACTIONS_contract,,Running
API_IVT_WEBHOOK_PORTFOLIO_ADMINISTRATOR_contract,,Running
API_IVT_WEBHOOK_WALLET_FUND_ACCRUALS_contract,,Running
API_IVT_WEBHOOK_WALLET_FUND_CASH_contract,,Running
API_IVT_WEBHOOK_WALLET_FUND_HEADER_contract,,Running
API_IVT_WEBHOOK_WALLET_FUND_PORTFOLIO_contract,,Running
APPREFUNDREQUESTS_contract,,Running
CARTEIRA_CPR_contract,,Running
DADOS_ADM_XML_contract,,Running
DIM_ATIVO_contract,,Running
DIM_CONTROLE_ATIVOS_IFIX_contract,,Running
DIM_CONTROLE_DESDOBRAMENTO_contract,,Running
DIM_CONTROLE_PARES_SUNO_contract,,Running
DIM_COTISTAS_SINGULARE_contract,,Running
DIM_ENTIDADE_contract,,Running
DIM_FUNDO_contract,,Running
DIM_FUNDOS_SINGULARE_contract,,Running
DT_COTISTAS_SNCI11_contract,,Aborted
DT_COTISTAS_SNEL11_contract,,Failed
DT_COTISTAS_SNFF11_contract,,Aborted
DT_COTISTAS_SNID11_contract,,Aborted
DT_COTISTAS_SNME11_contract,,Aborted
DT_NEWS_AI_contract,,Running
ESTOQUE_contract,,Running
FATO_MERCADO_FUNDOS_ESTRUTURADOS_contract,,Running
FATO_MERCADO_FUNDOS_LIQUIDOS_contract,,Running
FATO_MERCADO_INDICES_contract,,Running
FATO_POSICAO_DIARIA_contract,,Running
FATO_POSICAO_SINGULARE_contract,,Running
FUNIL_ADVISORY_contract,,Failed
HUBSPOT_DEALS_contract,,Running
MARKETSHARE_LIQUIDEZ_FUNDOS_ESTRUTURADOS_contract,,Running
MARKETSHARE_PVP_FUNDOS_ESTRUTURADOS_contract,,Running
MERCADO_FUNDOS_ESTRUTURADOS_contract,,Running
MERCADO_FUNDOS_LIQUIDOS_contract,,Running
MERCADO_INDICES_contract,,Running
RENTABILIDADE_ASSET_contract,,Running
RENTABILIDADE_INDICES_contract,,Running
RENTABILIDADE_LIQUIDOS_contract,,Running
RENTABILIDADE_MERCADO_contract,,Running
RENTABILIDADE_PATRIMONIAL_contract,,Running
TB_COTISTAS_CONSULTORIA_contract,,Running
TESTE_COTISTAS_EMISSAO_SINGULARE_contract,,Running
TESTE_DT_COTISTAS_SNAG11_2024_contract,,Running
TESTE_DT_COTISTAS_SNAG11_V2_contract,,Running
TESTE_TRATAMENTO_OUTLIERS_SNEL_contract,,Running
VOLATILIDADE_MERCADO_contract,,Running
VW_BTG_PL_TOTAL_contract,,Failed
VW_FUNIL_CONSULTORIA_contract,,Success
XML_HEADER_contract,,Running
XML_TITPRIVADO_contract,,Running
