nome_teste,entidade,resultado
appRefund_DQ_REF_01_abertos_mais_7d,<#E::table::Suno SnowFlake.RAW_SUNO_CORE.SUNO_CORE_PROD.APPREFUNDREQUESTS>,Failed
appRefund_DQ_REF_02_aprovado_sem_approvaldate,<#E::table::Suno SnowFlake.RAW_SUNO_CORE.SUNO_CORE_PROD.APPREFUNDREQUESTS>,Failed
appRefund_DQ_REF_03_approvedamount_invalido,<#E::table::Suno SnowFlake.RAW_SUNO_CORE.SUNO_CORE_PROD.APPREFUNDREQUESTS>,Failed
appRefund_DQ_REF_04_status_in_set,<#E::table::Suno SnowFlake.RAW_SUNO_CORE.SUNO_CORE_PROD.APPREFUNDREQUESTS::columns::STATUS>,Success
appRefund_DQ_REF_05_type_in_set,<#E::table::Suno SnowFlake.RAW_SUNO_CORE.SUNO_CORE_PROD.APPREFUNDREQUESTS::columns::TYPE>,Success
appRefund_DQ_REF_06_reasontype_in_enum,<#E::table::Suno SnowFlake.RAW_SUNO_CORE.SUNO_CORE_PROD.APPREFUNDREQUESTS::columns::REASONTYPE>,Success
auditoria_produto_tipo_sem_erro_agrupamento,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_POR_HORA_SUNOCODE>,Aborted
classificacao_comprador_sem_erro_indefinido,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_POR_HORA_SUNOCODE>,Aborted
date_range_cadastro_data_assinatura_termo,<#E::table::Suno SnowFlake.SERVING_LAYER.CONSULTORIA.VW_FUNIL_CONSULTORIA::columns::CADASTRO_DATA_ASSINATURA_TERMO>,Sem execução
date_range_cadastro_data_implantacao,<#E::table::Suno SnowFlake.SERVING_LAYER.CONSULTORIA.VW_FUNIL_CONSULTORIA::columns::CADASTRO_DATA_IMPLANTACAO>,Sem execução
date_range_create_date,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::CREATE_DATE>,Aborted
date_range_create_date,<#E::table::Suno SnowFlake.SERVING_LAYER.CONSULTORIA.FUNIL_ADVISORY::columns::CREATE_DATE>,Aborted
date_range_create_date_consultoria,<#E::table::Suno SnowFlake.SERVING_LAYER.CONSULTORIA.VW_FUNIL_CONSULTORIA::columns::CREATE_DATE_CONSULTORIA>,Sem execução
date_range_create_date_funil,<#E::table::Suno SnowFlake.SERVING_LAYER.CONSULTORIA.VW_FUNIL_CONSULTORIA::columns::CREATE_DATE_FUNIL>,Sem execução
date_range_data_da_contratacao_funil,<#E::table::Suno SnowFlake.SERVING_LAYER.CONSULTORIA.VW_FUNIL_CONSULTORIA::columns::DATA_DA_CONTRATACAO_FUNIL>,Sem execução
date_range_data_de_inicio_de_contrato,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::DATA_DE_INICIO_DE_CONTRATO>,Aborted
date_range_data_de_termino_de_contrato,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::DATA_DE_TERMINO_DE_CONTRATO>,Aborted
date_range_data_devolucao,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_POR_HORA_SUNOCODE::columns::DATA_DEVOLUCAO>,Aborted
date_range_data_entrada_agendamentos_sdr,<#E::table::Suno SnowFlake.SERVING_LAYER.CONSULTORIA.FUNIL_ADVISORY::columns::DATA_ENTRADA_AGENDAMENTOS_SDR>,Aborted
date_range_data_entrada_em_reagendamento,<#E::table::Suno SnowFlake.SERVING_LAYER.CONSULTORIA.FUNIL_ADVISORY::columns::DATA_ENTRADA_EM_REAGENDAMENTO>,Aborted
date_range_data_entrada_em_tratativa,<#E::table::Suno SnowFlake.SERVING_LAYER.CONSULTORIA.FUNIL_ADVISORY::columns::DATA_ENTRADA_EM_TRATATIVA>,Aborted
date_range_data_entrada_interesse_futuro_sdr,<#E::table::Suno SnowFlake.SERVING_LAYER.CONSULTORIA.FUNIL_ADVISORY::columns::DATA_ENTRADA_INTERESSE_FUTURO_SDR>,Aborted
date_range_data_entrada_perdido,<#E::table::Suno SnowFlake.SERVING_LAYER.CONSULTORIA.FUNIL_ADVISORY::columns::DATA_ENTRADA_PERDIDO>,Aborted
date_range_data_hora_pagamento,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_POR_HORA_SUNOCODE::columns::DATA_HORA_PAGAMENTO>,Aborted
date_range_data_pagamento,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_POR_HORA_SUNOCODE::columns::DATA_PAGAMENTO>,Aborted
date_range_data_primeira_assinatura,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.DT_LEADS_SUNOCODE::columns::DATA_PRIMEIRA_ASSINATURA>,Aborted
date_range_date_entered_111842127,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::DATE_ENTERED_111842127>,Aborted
date_range_date_entered_15875545,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::DATE_ENTERED_15875545>,Aborted
date_range_date_entered_15875547,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::DATE_ENTERED_15875547>,Aborted
date_range_date_entered_15875548,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::DATE_ENTERED_15875548>,Aborted
date_range_date_entered_15875551,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::DATE_ENTERED_15875551>,Aborted
date_range_date_exited_111842127,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::DATE_EXITED_111842127>,Aborted
date_range_date_exited_15875545,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::DATE_EXITED_15875545>,Aborted
date_range_date_exited_15875547,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::DATE_EXITED_15875547>,Aborted
date_range_date_exited_15875548,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::DATE_EXITED_15875548>,Aborted
date_range_date_exited_15875551,<#E::table::Suno SnowFlake.TRUSTED.CONSULTORIA_HUBSPOT.HUBSPOT_DEALS::columns::DATE_EXITED_15875551>,Aborted
date_range_dt_cancelamento,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI::columns::DT_CANCELAMENTO>,Aborted
date_range_dt_fim_assinatura,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI::columns::DT_FIM_ASSINATURA>,Aborted
date_range_dt_fim_produto_anterior,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI::columns::DT_FIM_PRODUTO_ANTERIOR>,Aborted
date_range_dt_inicio_assinatura,<#E::table::Suno SnowFlake.REFINED_STATUS_INVEST.ASSINATURAS.FATO_LIFECYCLE_ASSINATURAS_SI::columns::DT_INICIO_ASSINATURA>,Aborted
date_range_generated_at,<#E::table::Suno SnowFlake.REFINED_ADVISORY.WEALTH_LEGADO.VW_BTG_PL_TOTAL::columns::GENERATED_AT>,Sem execução
