bu,database,schema,tabela,fqn,om_url,snowflake_url,tem_descricao,tem_owner,testes_total,testes_falha,testes_sucesso,testes_sem_execucao
A REVISAR,RAW_SUNO_LEGADO,APP_API,MEMBERSHIPS,Suno SnowFlake.RAW_SUNO_LEGADO.APP_API.MEMBERSHIPS,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.APP_API.MEMBERSHIPS,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/APP_API/table/MEMBERSHIPS,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,APP_API,USERS,Suno SnowFlake.RAW_SUNO_LEGADO.APP_API.USERS,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.APP_API.USERS,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/APP_API/table/USERS,Não,Sim,0,0,0,0
A REVISAR,TRUSTED,APP_API,USERS,Suno SnowFlake.TRUSTED.APP_API.USERS,http://2.24.76.116:8585/table/Suno%20SnowFlake.TRUSTED.APP_API.USERS,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/TRUSTED/schemas/APP_API/dynamic-table/USERS,Sim,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,APP_API,USERS_ADDRESSES,Suno SnowFlake.RAW_SUNO_LEGADO.APP_API.USERS_ADDRESSES,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.APP_API.USERS_ADDRESSES,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/APP_API/table/USERS_ADDRESSES,Não,Sim,0,0,0,0
A REVISAR,TRUSTED,APP_API,USERS_ADDRESSES,Suno SnowFlake.TRUSTED.APP_API.USERS_ADDRESSES,http://2.24.76.116:8585/table/Suno%20SnowFlake.TRUSTED.APP_API.USERS_ADDRESSES,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/TRUSTED/schemas/APP_API/dynamic-table/USERS_ADDRESSES,Sim,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,APP_API,USERS_MEMBERSHIPS,Suno SnowFlake.RAW_SUNO_LEGADO.APP_API.USERS_MEMBERSHIPS,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.APP_API.USERS_MEMBERSHIPS,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/APP_API/table/USERS_MEMBERSHIPS,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,APP_API,USERS_PERSONAL_INFORMATION,Suno SnowFlake.RAW_SUNO_LEGADO.APP_API.USERS_PERSONAL_INFORMATION,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.APP_API.USERS_PERSONAL_INFORMATION,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/APP_API/table/USERS_PERSONAL_INFORMATION,Não,Sim,0,0,0,0
A REVISAR,TRUSTED,APP_API,USERS_PERSONAL_INFORMATION,Suno SnowFlake.TRUSTED.APP_API.USERS_PERSONAL_INFORMATION,http://2.24.76.116:8585/table/Suno%20SnowFlake.TRUSTED.APP_API.USERS_PERSONAL_INFORMATION,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/TRUSTED/schemas/APP_API/dynamic-table/USERS_PERSONAL_INFORMATION,Sim,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,APP_API,USER_VALIDATED_PHONES,Suno SnowFlake.RAW_SUNO_LEGADO.APP_API.USER_VALIDATED_PHONES,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.APP_API.USER_VALIDATED_PHONES,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/APP_API/table/USER_VALIDATED_PHONES,Não,Sim,0,0,0,0
A REVISAR,RAW,APP_STORE_CONNECT,APP_STORE_CONNECT_FINANCE_REPORTS,Suno SnowFlake.RAW.APP_STORE_CONNECT.APP_STORE_CONNECT_FINANCE_REPORTS,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW.APP_STORE_CONNECT.APP_STORE_CONNECT_FINANCE_REPORTS,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW/schemas/APP_STORE_CONNECT/table/APP_STORE_CONNECT_FINANCE_REPORTS,Não,Não,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,BASE_SIGLAS_FUNDOS,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.BASE_SIGLAS_FUNDOS,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.BASE_SIGLAS_FUNDOS,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/BASE_SIGLAS_FUNDOS,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,BTG_CLIENTES,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.BTG_CLIENTES,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.BTG_CLIENTES,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/BTG_CLIENTES,Não,Não,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,BTG_POSITIONS,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.BTG_POSITIONS,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.BTG_POSITIONS,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/BTG_POSITIONS,Não,Sim,0,0,0,0
A REVISAR,TRUSTED,ASSET,BTG_POSITIONS,Suno SnowFlake.TRUSTED.ASSET.BTG_POSITIONS,http://2.24.76.116:8585/table/Suno%20SnowFlake.TRUSTED.ASSET.BTG_POSITIONS,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/TRUSTED/schemas/ASSET/table/BTG_POSITIONS,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,BTG_POSITIONS_DETAIL,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.BTG_POSITIONS_DETAIL,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.BTG_POSITIONS_DETAIL,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/BTG_POSITIONS_DETAIL,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,CALENDARIO_COMPLETO_ANBIMA,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.CALENDARIO_COMPLETO_ANBIMA,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.CALENDARIO_COMPLETO_ANBIMA,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/CALENDARIO_COMPLETO_ANBIMA,Não,Sim,0,0,0,0
